record_id,Ministry/Department of Justice,National Government,Provincial/State Government,New Task Force,Municipal Government,Other,Police,Ministry/Department of Foreign Affairs,Military,Ministry/Department of Health
R_6xmbSctmqkjMA4VAq,False,False,False,False,False,False,False,False,False,True
R_3hu5zOykfMZBf76NA,False,False,False,False,False,True,False,False,False,False
R_27eQUD05p74fORiNA,False,False,True,False,False,False,False,False,False,False
R_oYvDmnyoZKwO4uJNA,False,False,True,False,False,False,False,False,False,False
R_2fuJdf9hxdIYx6dCn,False,False,True,False,True,True,False,False,False,False
R_2fuJdf9hxdIYx6dDx,False,False,True,False,True,True,False,False,False,False
R_2fuJdf9hxdIYx6dCy,False,False,True,False,True,True,False,False,False,False
R_2fuJdf9hxdIYx6dCz,False,False,True,False,True,True,False,False,False,False
R_2R8SpSSpzw3FN2CBg,False,False,True,False,False,False,False,False,False,False
R_2R8SpSSpzw3FN2CDv,False,False,True,False,False,False,False,False,False,False
R_2R8SpSSpzw3FN2CDu,False,False,True,False,False,False,False,False,False,False
R_2R8SpSSpzw3FN2CDa,False,False,True,False,False,False,False,False,False,False
R_2R8SpSSpzw3FN2CBc,False,False,True,False,False,False,False,False,False,False
R_2R8SpSSpzw3FN2CAr,False,False,True,False,False,False,False,False,False,False
R_2R8SpSSpzw3FN2CBy,False,False,True,False,False,False,False,False,False,False
R_2R8SpSSpzw3FN2CCg,False,False,True,False,False,False,False,False,False,False
R_3dEY9oHRG5hAIPMAm,False,False,False,True,False,True,False,False,False,False
R_2aVpaxRew2EmyCVBc,False,False,True,False,False,False,False,False,False,True
R_3syPBrK7nr8kjTjNA,False,True,False,False,False,True,False,False,False,False
R_3koaZ5YG907SoOiNA,False,True,False,False,False,True,False,False,False,False
R_3KwLQENh93KJH9hNA,False,False,False,True,False,True,False,False,False,False
R_1DMX3AGfpgUqqqANA,False,False,True,False,False,False,False,False,False,False
R_qCUVdVBf5lOjuCtNA,False,False,True,False,False,False,False,False,False,False
R_ALO08G6DAeNLP5nBh,False,False,False,True,False,True,False,False,False,False
R_ALO08G6DAeNLP5nBi,False,False,False,True,False,True,False,False,False,False
R_1gdyTSZC6xYlCxWNA,False,False,True,False,False,False,False,False,False,False
R_BtsMwrLX5b5dxUlNA,False,False,True,False,False,False,False,False,False,False
R_30de4LLRcEUA5RiBs,False,False,True,False,False,False,False,False,False,False
R_xyfjHrZlxHVxmG5NA,False,False,False,False,False,False,False,False,False,True
R_1f1nEv04l8noa8LNA,False,False,False,False,False,True,False,False,False,False
R_3PpN1GqTn0YlTUNNA,False,False,True,False,False,False,False,False,False,False
R_XM9K1H16aQeY3L3NA,False,False,True,False,False,False,False,False,False,False
R_3JxzJotHqgSSIE6NA,False,False,True,False,False,False,False,False,False,False
R_ReNlHw9DajpkZgdCt,False,True,False,False,False,True,False,False,False,False
R_ReNlHw9DajpkZgdCu,False,True,False,False,False,True,False,False,False,False
R_ReNlHw9DajpkZgdDp,False,True,False,False,False,True,False,False,False,False
R_1gi35rSZp2i5MEdNA,False,False,True,False,False,False,False,False,False,False
R_WAGCNOINejYK5LbNA,False,False,True,False,False,False,False,False,False,False
R_1Lj9058PmytK3YMNA,False,False,True,False,False,False,False,False,False,False
R_3R46pqo79gDrfGANA,False,False,True,False,False,False,False,False,False,False
R_2pYPVcwW79hWAbSBw,False,False,False,True,False,True,False,False,False,False
R_32X75WK4TCY2B3wNA,False,False,True,False,False,False,False,False,False,False
R_2thc0UkWYuZyA42NA,False,False,True,False,False,False,False,False,False,False
R_2pXfuAOFFb1Lj3JAq,False,False,True,False,False,False,False,False,False,True
R_1et4Yssn8fg4zyVNA,False,False,True,False,False,False,False,False,False,False
R_2f9YriIoVRuvuuBAm,False,False,False,False,True,False,False,False,False,False
R_1erSLASronoboESNA,False,False,False,False,False,True,False,False,False,False
R_2Vat4bAk2Ph83e9Dq,False,False,False,True,False,True,False,False,False,False
R_UotnWv6YUTm6pEdNA,False,True,False,False,False,False,False,False,False,True
R_21dCKioicyLak8INA,False,False,True,False,False,False,False,False,False,False
R_1lioWQiiaIKFMDzNA,False,False,False,False,True,False,False,False,False,False
R_25LWv8tgfkaE0IxNA,False,False,True,False,False,False,False,False,False,False
R_2rUylKHPKxnAc6NNA,False,False,True,False,False,False,False,False,False,False
R_2eVkNvLAVJ2D1BFAy,False,False,False,True,False,True,True,False,False,False
R_2SIV5U4TND0YN5ANA,False,False,True,False,False,False,False,False,False,False
R_1CdY0xpwQUdKqMGAm,False,False,True,True,False,False,False,False,False,False
R_2w4BpPIzLTESQwcNA,False,False,False,False,True,False,False,False,False,False
R_2qwJNa400JwQSopNA,False,False,True,False,False,False,False,False,False,False
R_aYq2aXpC2o8NzPjNA,False,True,True,False,True,False,False,False,False,True
R_cYckwKLpoGe1gWdNA,False,False,False,False,False,False,False,False,False,True
R_3Oekh5vuLVN8SsPNA,False,False,False,False,False,True,True,False,False,False
R_yjptp8MmiNLNHVLAr,False,True,False,False,False,False,False,False,False,True
R_yjptp8MmiNLNHVLBy,False,True,False,False,False,False,False,False,False,True
R_1FrLSzSiwoHWtgINA,False,False,False,False,False,False,False,False,False,True
R_2Qm0p29T40mJd6UNA,False,True,False,False,False,False,False,False,False,True
R_31FvvUCM6pxlNlWBv,False,False,True,False,False,False,False,False,False,False
R_aeKmqK23EQgeoXTNA,False,True,False,False,False,False,False,False,False,True
R_2SoF2df9DEJSdu4NA,False,True,False,False,False,True,False,False,False,False
R_0xEj3pPu9oUUBslNA,False,True,True,False,False,False,False,False,False,True
R_3konVBeZrWZZhy9Eb,False,True,True,False,True,False,False,False,False,True
R_3konVBeZrWZZhy9Ea,False,True,True,False,True,False,False,False,False,True
R_3konVBeZrWZZhy9Ec,False,True,True,False,True,False,False,False,False,True
R_27cV0om2ZppaF0yNA,False,True,True,False,True,False,False,False,False,True
R_1j7H4VBB9DxLUhVBd,False,False,True,False,False,False,False,False,False,True
R_2zU7M28ginGCKg3NA,False,False,False,False,False,False,False,False,False,True
R_3sgEajJQnH3hfajBd,False,True,True,False,True,False,False,False,False,True
R_28ZkU1Tb2IFYVwFAy,False,True,True,False,True,False,False,False,False,True
R_1LMBHuN5yf3x0RGNA,False,True,True,False,False,False,False,False,False,True
R_1rjrks107OhktnAAy,False,False,True,False,False,False,False,False,False,True
R_3fklA7ybmvIscjiNA,False,True,True,False,False,False,False,False,False,True
R_1jBw7ItxPp9lxMsBd,False,False,False,False,False,True,False,False,False,False
R_2QVwhIvmVrqFK4dBd,False,False,False,False,False,True,False,False,False,False
R_1gAOQSNeUGM1NxNNA,False,False,False,False,False,False,False,False,False,True
R_D0jBbSZKMxWGUXnNA,False,False,False,False,False,True,False,False,False,False
R_3fxWsdgZUDXTT9xBd,False,True,False,False,False,False,False,False,False,True
R_3qDvSsUUNzylAf8NA,False,False,False,False,False,False,False,False,False,True
R_2A0XNte6eFsq6IeBs,False,True,True,False,True,False,True,False,False,True
R_3HYstneCw7PlFabNA,False,False,True,False,False,True,False,False,False,False
R_2Sph5l7qOwVbxv5NA,False,False,True,False,False,False,False,False,False,False
R_1IYSrk2JQt15hBANA,False,True,False,False,False,False,False,False,False,False
R_2aRIJeZVQmE8t0uAr,False,False,True,False,False,False,False,False,False,True
R_2aRIJeZVQmE8t0uBy,False,False,True,False,False,False,False,False,False,True
R_2t44956eTeu9H9ENA,False,False,True,False,False,False,False,False,False,False
R_10J0JEw0luwHEkfCk,False,True,False,False,False,True,False,False,False,False
R_1dprZGhBrAK6WpQNA,False,False,True,False,True,False,True,False,False,False
R_6eZPNXZC7wGtC9PNA,False,False,False,False,False,True,False,False,False,False
R_25zvXfOYPaKh0KXBg,False,True,True,False,True,False,False,False,False,True
R_242AU83uZ2UiDn8NA,False,False,True,False,False,False,False,False,False,False
R_33m9ezGECG9IaCNNA,False,False,True,False,False,False,False,False,False,False
R_eEyrkgogFcMOYhPNA,False,False,True,False,False,False,False,False,False,False
R_ZfYmWMPjNlFZSwhNA,False,False,True,False,False,False,False,False,False,False
R_3kd3is5cnGxq8yzBs,False,False,False,False,True,False,False,False,False,False
R_r86YipW21D4CZoZNA,False,False,True,False,False,False,False,False,False,False
R_2VaouFuT96KsT0WAr,False,False,True,False,False,False,False,False,False,True
R_2VaouFuT96KsT0WBy,False,False,True,False,False,False,False,False,False,True
R_3n2HHtDUHEwBrGEAr,False,False,True,False,False,False,False,False,False,True
R_3n2HHtDUHEwBrGEBy,False,False,True,False,False,False,False,False,False,True
R_xaeoXEhkxUHysBHNA,False,False,True,False,False,False,False,False,False,False
R_1gNkLjS6UUkrw6dAm,False,False,True,False,False,False,True,False,False,False
